nazwa,Substancja czynna,postac,dawka,Zawartosc opakowania,Kod EAN lub inny kod odpowiadajacy kodowi EAN,Poziom odplatnosci,Zakres wskazan objetych refundacja,Wysokosc doplaty swiadczeniobiorcy
Dermovate,Clobetasoli propionas, roztwor na skore, 0.5 mg/ml,50 ml,05909990369928,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"13,45"
Dermovate,Clobetasolum, masc, 0.5 mg/g,25 g,05909990004812,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,14"
Dermovate,Clobetasolum, roztwor na skore, 0.5 mg/ml,25 ml,05909990369911,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,02"
Dermovate,Clobetasolum, roztwor na skore, 0.5 mg/ml,50 ml,05909997196497,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,48"
Dermovate,Clobetasolum, roztwor na skore, 0.5 mg/ml (0,25 ml,05909997201375,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,15"
Anafranil,Clomipraminum, tabl. powl., 10 mg,30 szt.,05909990294916,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"4,07"
Anafranil,Clomipraminum, tabl. powl., 25 mg,30 szt.,05909990295012,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"3,09"
Anafranil SR 75,Clomipraminum, tabl. powl. o przedluzonym uwalnianiu, 75 mg,20 szt.,05909990295111,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"0,00"
Clonazepamum TZF,Clonazepamum, tabl., 0.5 mg,30 szt. (1 blist.po 30 szt.),05909990135615,ryczalt,Padaczka,"5,16"
Clonazepamum TZF,Clonazepamum, tabl., 2 mg,30 szt. (1 blist.po 30 szt.),05909990135516,ryczalt,Padaczka,"3,20"
Clopamid VP,Clopamidum, tabl., 20 mg,20 szt. (1 blist.po 20 szt.),05909990141012,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,33"
Agregex,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909991397005,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,42"
Agregex,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909991251949,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,45"
Agregex,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909991318543,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,46"
Agregex,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909991271602,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,52"
Agregex,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909991298319,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,59"
Agregex,Clopidogrelum, tabl. powl., 75 mg,28 szt. (4 blist.po 7 szt.),05909990754748,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","7,68"
Areplex,Clopidogrelum, tabl. powl., 75 mg,28 szt. (2 blist.po 14 szt.),05909991167011,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","15,83"
Clopidix,Clopidogrelum, tabl. powl., 75 mg,28 szt. (2 blist.po 14 szt.),05909990625826,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","7,68"
Clopidogrel Apotex,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909990774401,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","7,79"
Clopidogrel Bluefish,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909990768141,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,25"
Clopidogrel Genoptim,Clopidogrelum, tabl. powl., 75 mg,28 tabl.,05909990762194,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,58"
Clopidogrel KRKA,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909991029388,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","7,06"
Grepid,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909990727667,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,59"
Pegorel,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909990793730,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,60"
Plavocorin,Clopidogrelum, tabl. powl., 75 mg,28 szt. (2 blist.po 14 szt.),05909990762729,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","8,24"
Vixam,Clopidogrelum, tabl., 75 mg,30 szt.,05909990866533,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","8,18"
Zyllt,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05903792743382,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,11"
Zyllt,Clopidogrelum, tabletki powlekane, 75 mg,28 szt.,05901878600475,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","6,23"
Zyllt,Clopidogrelum, tabl. powl., 75 mg,28 szt.,05909991109219,30p,"Miazdzyca objawowa naczyn wiencowych leczona stentami metalowymi (do 6 tygodni od implantacji stentu) lub stentami antyrestenotycznymi uwalniajacymi leki (do 12 miesiecy od implantacji stentu) w celu zapobiegania zakrzepom, Stan po zawale miesnia sercowego bez uniesienia odcinka ST do 12 miesiecy stosowania, Stan po zawale miesnia sercowego z uniesieniem odcinka ST do 30 dni stosowania","7,10"
Clotrimazolum GSK,Clotrimazolum, tabl. dopochwowe, 100 mg,6 szt. (1 blist.po 6 szt.),05909990363711,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,39"
Syntarpen,Cloxacillinum, tabl. powl., 500 mg,16 szt.,05909990295715,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"17,42"
Clopizam,Clozapinum, tabl., 100 mg,100 tabl.,05909991327736,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"6,59"
Clopizam,Clozapinum, tabl., 100 mg,50 tabl.,05909991327705,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"4,73"
Clopizam,Clozapinum, tabl., 25 mg,50 tabl.,05909991327606,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"1,54"
Klozapol,Clozapinum, tabl., 100 mg,50 tabl. (2 blist.po 25 szt.),05909990139521,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"11,52"
Klozapol,Clozapinum, tabl., 25 mg,50 tabl. (2 blist.po 25 szt.),05909990139422,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"6,67"
Symcloza,Clozapinum, tabl., 100 mg,50 szt.,05909991373443,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"4,24"
Symcloza,Clozapinum, tabl., 25 mg,50 szt.,05909991373382,bezplatny do limitu,Choroby psychiczne lub uposledzenia umyslowe,"1,42"
Juvit D3,Colecalciferolum, krople doustne, roztwor,10 ml,05909991047818,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Colistin TZF,Colistinum, liofilizat do sporzadzania roztworu do wstrzykiwan, infuzji i inhalacji,20 fiol.,05909990366514,ryczalt,Mukowiscydoza,"3,20"
Iruxol Mono,Collagenasum, masc, 1.2 j./g,20 g,05909990015412,50p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"20,30"
Ruconest,Conestatum alfa, proszek do sporzadzania roztworu do wstrzykiwan, 2100 j.,1 fiol. a 25 ml,08718309680008,ryczalt,"Przerwanie ostrego, zagrazajacego zyciu ataku dziedzicznego obrzeku naczynioruchowego, obejmujacego gardlo, krtan lub jame brzuszna","3,20"
Elonva,Corifollitropinum alfa, roztwor do wstrzykiwan, 100 ug,"1 amp.-strz. 0,5 ml",05909997077482,ryczalt,"Kontrolowana hiperstymulacja jajnikow w skojarzeniu z antagonista GnRH u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli","3,20"
Elonva,Corifollitropinum alfa, roztwor do wstrzykiwan, 150 ug,"1 amp.-strz. 0,5 ml",05909997077499,ryczalt,"Kontrolowana hiperstymulacja jajnikow w skojarzeniu z antagonista GnRH u pacjentek w wieku ponizej 40 roku zycia w celu uzyskania rozwoju mnogich pecherzykow, rokujacych uzyskanie prawidlowej odpowiedzi na stymulacje jajeczkowania (hormon folikulotropowy - FSH ponizej 15 mlU/ml w 2-3 dniu cyklu lub hormon antymÅllerowski - AMH powyzej 0,7 ng/ml (wg II standardu)), u ktorych nie stwierdza sie wczesniejszych, niedostatecznych odpowiedzi na stymulacje owulacji oraz bez nawracajacych poronien z tym samym partnerem - refundacja do 3 cykli","3,20"
Vitaminum B12 WZF,Cyanocobalaminum (vit. B12), roztwor do wstrzykiwan, 500 ug/ml,5 amp.po 2 ml,05909990244010,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"2,47"
Endoxan,Cyclophosphamidum, tabl. drazowane, 50 mg,50 szt. (5 blist.po 10 szt.),05909990240814,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,20"
Endoxan,Cyclophosphamidum, tabl. drazowane, 50 mg,50 szt. (5 blist.po 10 szt.),05909990240814,bezplatny do limitu,Nowotwory zlosliwe,"0,00"
Androcur,Cyproteroni acetas, tabl., 50 mg,20 szt. (2 blist.po 10 szt.),05909990657476,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"19,90"
Androcur,Cyproteroni acetas, tabl., 50 mg,50 szt. (5 blist.po 10 szt.),05909990657483,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"31,84"
Cyprodiol,Cyproteronum + Ethinylestradiolum, tabl. powl., 2+0,21 szt.,05909991039486,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,36"
Cyprodiol,Cyproteronum + Ethinylestradiolum, tabl. powl., 2+0,63 szt.,05909991039509,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"14,39"
Diane-35,Cyproteronum + Ethinylestradiolum, tabl. powl., 2+0,21 szt. (1 blist.po 21 szt.),05909990222216,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,30"
Diane-35,Cyproteronum + Ethinylestradiolum, tabl. powl., 2+0,63 szt. (3 blist.po 21 szt.),05909990222230,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"20,18"
OC-35,Cyproteronum + Ethinylestradiolum, tabl. powl., 2+0,21 szt. (1 blist.po 21 szt.),05909990046171,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,54"
OC-35,Cyproteronum + Ethinylestradiolum, tabl. powl., 2+0,63 szt. (3 blist.po 21 szt.),05909990046188,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"17,68"
Syndi-35,Cyproteronum + Ethinylestradiolum, tabl. drazowane, 2+0,21 szt. (1 blist.po 21 szt.),05909990037773,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,84"
Syndi-35,Cyproteronum + Ethinylestradiolum, tabl. drazowane, 2+0,63 szt. (3 blist.po 21 szt.),05909990086788,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"18,93"
VaxigripTetra,"Czterowalentna szczepionka przeciw grypie (rozszczepiony wirion), inaktywowana", zawiesina do wstrzykiwan w ampulko-strzykawce, 0.5 ml,"1 amp.-strzyk. 0,5 ml z igla",05909991302108,50p,"Czynne uodpornienie osob powyzej 65 roku zycia w zapobieganiu grypie wywolanej przez dwa podtypy wirusa grypy A oraz dwa typy wirusa grypy B, ktore zawarte sa w szczepionce","22,88"
Pradaxa,Dabigatranum etexilatum, kaps. twarde, 110 mg,10 szt.,05909990641253,ryczalt,zylne powiklania zakrzepowo-zatorowe u doroslych pacjentow po przebytej planowej alloplastyce calkowitej stawu biodrowego (do 30 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna,"32,70"
Pradaxa,Dabigatranum etexilatum, kaps. twarde, 110 mg,30 szt.,05909990641260,ryczalt,zylne powiklania zakrzepowo-zatorowe u doroslych pacjentow po przebytej planowej alloplastyce calkowitej stawu biodrowego (do 30 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna,"73,39"
Pradaxa,Dabigatranum etexilatum, kaps. twarde, 110 mg,30 szt.,05909990641260,30p,Leczenie zakrzepicy zyl glebokich lub zatorowosci plucnej - u osob powyzej 18 roku zycia. Profilaktyka nawrotow zakrzepicy zyl glebokich lub zatorowosci plucnej - u osob powyzej 18 roku zycia,"88,27"
Pradaxa,Dabigatranum etexilatum, kaps. twarde, 150 mg,30 szt.,05909990887453,30p,Leczenie zakrzepicy zyl glebokich lub zatorowosci plucnej - u osob powyzej 18 roku zycia. Profilaktyka nawrotow zakrzepicy zyl glebokich lub zatorowosci plucnej - u osob powyzej 18 roku zycia,"74,82"
Pradaxa,Dabigatranum etexilatum, kaps. twarde, 75 mg,10 szt.,05909990641215,ryczalt,zylne powiklania zakrzepowo-zatorowe u doroslych pacjentow po przebytej planowej alloplastyce calkowitej stawu biodrowego (do 30 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna,"37,99"
Pradaxa,Dabigatranum etexilatum, kaps. twarde, 75 mg,30 szt.,05909990641222,ryczalt,zylne powiklania zakrzepowo-zatorowe u doroslych pacjentow po przebytej planowej alloplastyce calkowitej stawu biodrowego (do 30 dnia po przebytej alloplastyce) lub kolanowego (do 14 dnia po przebytej alloplastyce) - prewencja pierwotna,"103,72"
Fragmin,Dalteparinum natricum, roztwor do wstrzykiwan, 10000 j.m. (anty-Xa)/0,"5 amp.-strz.po 0,4 ml",05909990958818,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"21,36"
Fragmin,Dalteparinum natricum, roztwor do wstrzykiwan, 12500 j.m. (anty-Xa)/0,"5 amp.-strz.po 0,5 ml",05909990949519,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"34,65"
Fragmin,Dalteparinum natricum, roztwor do wstrzykiwan, 15000 j.m. (anty-Xa)/0,"5 amp.-strz.po 0,6 ml",05909990949618,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"41,15"
Fragmin,Dalteparinum natricum, roztwor do wstrzykiwan, 18000 j.m. (anty-Xa)/0,"5 amp.-strz z igla po 0,72 ml",05909990949717,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"37,87"
Fragmin,Dalteparinum natricum, roztwor do wstrzykiwan, 2500 j.m. (anty-Xa)/0,"10 amp.-strz.po 0,2 ml",05909990776412,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"17,30"
Fragmin,Dalteparinum natricum, roztwor do wstrzykiwan, 5000 j.m. (anty-Xa)/0,"10 amp.-strz.po 0,2 ml",05909990776511,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"30,87"
Fragmin,Dalteparinum natricum, roztwor do wstrzykiwan, 7500 j.m. (anty-Xa)/0,"10 amp.-strz.po 0,3 ml",05909990949410,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"41,15"
Danazol Polfarmex,Danazolum, tabl., 200 mg,100 szt. (1 poj.po 100 szt),05909990925339,ryczalt,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,56"
Forxiga,Dapagliflozinum, tabl. powl., 10 mg,30 szt.,05909990975884,30p,"Cukrzyca typu 2, u pacjentow przed wlaczeniem insuliny, leczonych co najmniej dwoma doustnymi lekami hipoglikemizujacymi od co najmniej 6 miesiecy, z HbA1c ? 8 p oraz bardzo wysokim ryzykiem sercowo-naczyniowym rozumianym jako: 1)potwierdzona choroba sercowo-naczyniowa, lub 2)uszkodzenie innych narzadow objawiajace sie poprzez: bialkomocz lub przerost lewej komory lub retinopatie, lub 3) obecnosc 3 lub wiecej glownych czynnikow ryzyka sposrod wymienionych ponizej: -wiek ? 55 lat dla mezczyzn, ?60 lat dla kobiet, -dyslipidemia, -nadcisnienie tetnicze, -palenie tytoniu, -otylosc","53,44"
Firmagon,Degareliks, proszek i rozpuszczalnik do sporzadzania roztworu do wstrzykiwan, 120 mg,2 fiol. z prosz. i 2 fiol. z rozp.,05909990774869,ryczalt,Zaawansowany hormonozalezny rak gruczolu krokowego,"9,48"
Firmagon,Degareliks, proszek i rozpuszczalnik do sporzadzania roztworu do wstrzykiwan, 80 mg,1 fiol. z prosz. i 1 amp-strz. rozp.,05909990774852,ryczalt,Zaawansowany hormonozalezny rak gruczolu krokowego,"3,20"
Prolia,Denosumabum, roztwor do wstrzykiwan, 60 mg/1 ml,1 amp.-strz.po 1 ml,05909990761647,30p,"Osteoporoza pomenopauzalna (T-score mniejsze lub rowne -2,5 mierzone metoda DXA lub wystapienie zlamania osteoporotycznego) u kobiet w wieku powyzej 60 lat, po niepowodzeniu leczenia doustnymi bisfosfonianami lub z przeciwwskazaniami (nietolerancja) do ich stosowania. Osteoporoza (T-score mniejsze lub rowne -2,5 mierzone metoda DXA lub wystapienie zlamania osteoporotycznego) u mezczyzn w wieku powyzej 60 lat, po niepowodzeniu leczenia doustnymi bisfosfonianami lub z przeciwwskazaniami (nietolerancja) do ich stosowania","247,91"
Dasselta,Desloratadinum, tabl. powl., 5 mg,30 szt.,05909991032838,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,83"
Dasselta,Desloratadinum, tabl. powl., 5 mg,90 szt.,05909991032852,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"16,95"
Delortan,Desloratadinum, tabl. powl., 5 mg,30 szt.,05909990969654,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,88"
Delortan,Desloratadinum, tabletki powlekane, 5 mg,90 tabl.,05909990969678,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"10,54"
Deslodyna,Desloratadinum, roztwor doustny, 0.5 mg/ml,1 but.po 150 ml,05909990964574,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"8,29"
Deslodyna,Desloratadinum, tabl. powl., 5 mg,30 szt.,05909990964611,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,03"
Desloratadine Aurovitas,Desloratadinum, tabl. powl., 5 mg,30 szt.,05909991359454,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,45"
Desloratadine Aurovitas,Desloratadinum, tabl. powl., 5 mg,60 szt.,08901175035427,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,58"
Desloratadine Aurovitas,Desloratadinum, tabl. powl., 5 mg,90 szt.,05909991359478,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,48"
Desloratadine Genoptim,Desloratadinum, tabl. powl., 5 mg,30 szt.,05909991010980,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,56"
Dynid,Desloratadinum, roztwor doustny, 0.5 mg/ml,150 ml,05909990975921,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,47"
Dynid,Desloratadinum, tabletki, 5 mg,30 szt.,05909991326487,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"3,79"
Dynid,Desloratadinum, tabl., 5 mg,30 szt.,05909990979981,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"4,57"
Dynid,Desloratadinum, tabl. powl., 5 mg,60 szt.,05902020241669,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,30"
Goldesin,Desloratadinum, roztwor doustny, 0.5 mg/ml,150 ml,05909990990368,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,84"
Hitaxa,Desloratadinum, roztwor doustny, 0.5 mg/ml,1 but.po 150 ml,05909990981458,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,01"
Hitaxa,Desloratadinum, tabl. ulegajace rozpadowi w jamie ustnej, 2.5 mg,30 szt.,05909990981359,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"5,39"
Hitaxa,Desloratadinum, tabl. ulegajace rozpadowi w jamie ustnej, 5 mg,30 szt.,05909990981373,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"9,78"
Jovesto,Desloratadinum, roztwor doustny, 0.5 mg/ml,1 but.po 150 ml,05909990994465,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"6,70"
Jovesto,Desloratadinum, tabl. powl., 5 mg,60 szt.,05909991225735,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,43"
Jovesto,Desloratadinum, tabl. powl., 5 mg,60 szt.,05909990994533,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"7,89"
Jovesto,Desloratadinum, tabl. powl., 5 mg,90 szt.,05909990994540,30p,We wszystkich zarejestrowanych wskazaniach na dzien wydania decyzji,"11,67"
Minirin Melt,Desmopressinum, liofilizat doustny, 120 ug,30 szt.,05909990068548,ryczalt,Moczowka prosta przysadkowa,"3,20"
Minirin Melt,Desmopressinum, liofilizat doustny, 120 ug,30 szt.,05909990068548,30p,Pierwotne izolowane moczenie nocne u pacjentow powyzej 6 roku zycia z prawidlowa zdolnoscia zageszczania moczu po udokumentowaniu nieskutecznosci 1-miesiecznego postepowania wspomagajacego i motywujacego,"52,44"
